,Momentum,EnergyCold,EnergyHot
216,3.42095532214925e-22,-1.67083353459136e-18,-1.96945833783658e-19
217,4.52889841828256e-22,-1.70011366161647e-18,-1.10281006742055e-19
218,-2.99580399434678e-22,-1.44938292355317e-18,-1.75803508299137e-19
219,1.45704504642267e-22,-1.81865533500788e-18,-1.91603235875852e-19
220,1.69889185741425e-23,-1.60924266785197e-18,-1.18863454713419e-19
221,-5.16940130847983e-23,-1.8666192896817e-18,-8.94372938207221e-20
222,6.15324733751577e-23,-1.55710153412029e-18,-2.21296937191279e-19
223,-6.05366828826146e-22,-1.73020791993898e-18,-2.19887688093895e-19
224,7.07665833147372e-22,-1.79639461181447e-18,-1.35079548328793e-19
225,-6.10348415572777e-22,-1.84107638004187e-18,-1.80447980588241e-19
226,-1.59151519087416e-22,-1.6005974794753e-18,-2.5825339081369e-19
227,-8.70132147510343e-22,-1.49845758844022e-18,-2.42261452360952e-19
228,-3.45185553323801e-22,-1.70399369307238e-18,-1.47486058135361e-19
229,1.23726861210122e-22,-1.77688575743934e-18,-9.76323417314281e-20
230,2.44497410566036e-22,-1.59522063314049e-18,-1.40350836604802e-19
231,-1.85936072022996e-22,-1.47166113909289e-18,-1.13081317583016e-19
232,-2.83062040841845e-22,-1.8373415037929e-18,-2.06865663978569e-19
233,-7.91291237834586e-23,-1.91316804216845e-18,-1.97843779180721e-19
234,-5.00416535693794e-22,-1.50619444580342e-18,-1.97119243638286e-19
235,2.82769918355663e-22,-1.51219342870536e-18,-8.68282376818211e-20
236,1.02768526899206e-22,-1.63976854051357e-18,-1.0786893346566e-19
237,-7.77478279696338e-22,-1.49681294294369e-18,-3.21141852776009e-19
238,2.53025749432585e-22,-1.71742336193572e-18,-1.94412579804317e-19
239,-1.76621892636715e-22,-1.58808998151792e-18,-1.74382533265385e-19
240,1.00689398464029e-22,-1.55148081869958e-18,-1.96973501041245e-19
241,3.23636608378402e-22,-1.65128260426417e-18,-1.10725020954337e-19
242,-6.28433262501318e-22,-1.6401685535998e-18,-1.93894478873361e-19
243,-7.27127645403105e-22,-1.58715484440609e-18,-1.55764768223581e-19
244,-3.21577534885674e-22,-1.78166041905533e-18,-2.20169573056297e-19
245,1.70645868255461e-22,-1.88811312275739e-18,-1.47594045185557e-19
246,-5.41003557326683e-22,-1.7255503132418e-18,-2.2323423530746e-19
247,1.69609766342447e-22,-1.30381074149658e-18,-2.00884263764388e-19
248,-2.06737842994685e-22,-1.77129634071392e-18,-1.42229320598108e-19
249,-8.68158800431998e-22,-1.53337989571182e-18,-1.97941559245445e-19
